 Season          Basin TropicalStorm Hurricane MajorHurricane Total ONIAug
   1995 EasternPacific             3         4              3    10   -0.5
   1995  NorthAtlantic             8         6              5    19   -0.5
   1996 EasternPacific             3         3              2     8   -0.3
   1996  NorthAtlantic             4         3              6    13   -0.3
   1997 EasternPacific             8         2              7    17    1.7
   1997  NorthAtlantic             4         2              1     7    1.7
   1998 EasternPacific             4         4              5    13   -1.0
   1998  NorthAtlantic             4         7              3    14   -1.0
   1999 EasternPacific             3         4              2     9   -1.0
   1999  NorthAtlantic             4         3              5    12   -1.0
   2000 EasternPacific            11         4              2    17   -0.5
   2000  NorthAtlantic             6         5              3    14   -0.5
   2001 EasternPacific             7         6              2    15   -0.1
   2001  NorthAtlantic             6         5              4    15   -0.1
   2002 EasternPacific             6         1              5    12    0.8
   2002  NorthAtlantic             8         2              2    12    0.8
   2003 EasternPacific             9         7              0    16    0.2
   2003  NorthAtlantic             9         4              3    16    0.2
   2004 EasternPacific             6         3              3    12    0.6
   2004  NorthAtlantic             5         3              6    14    0.6
   2005 EasternPacific             8         5              2    15   -0.1
   2005  NorthAtlantic            11         8              7    26   -0.1
   2006 EasternPacific             8         5              5    18    0.3
   2006  NorthAtlantic             5         3              2    10    0.3
   2007 EasternPacific             7         3              1    11   -0.6
   2007  NorthAtlantic             8         4              2    14   -0.6
   2008 EasternPacific             9         5              2    16   -0.3
   2008  NorthAtlantic             8         3              5    16   -0.3
   2009 EasternPacific            11         3              4    18    0.5
   2009  NorthAtlantic             6         1              2     9    0.5
   2010 EasternPacific             4         1              2     7   -1.2
   2010  NorthAtlantic             7         7              5    19   -1.2
   2011 EasternPacific             1         4              6    11   -0.6
   2011  NorthAtlantic            12         3              4    19   -0.6
   2012 EasternPacific             7         5              5    17    0.3
   2012  NorthAtlantic             9         8              2    19    0.3
   2013 EasternPacific             9         8              1    18   -0.3
   2013  NorthAtlantic            11         2              0    13   -0.3
   2014 EasternPacific             4         3              7    14    0.0
   2014  NorthAtlantic             2         4              2     8    0.0
   2015 EasternPacific             6         3             10    19    1.4
   2015  NorthAtlantic             7         2              2    11    1.4
   2016 EasternPacific             8         5              6    19   -0.6
   2016  NorthAtlantic             8         4              3    15   -0.6
